,Job1,Job1Year,Job2,Job2Year,Job3,Job3Year,Job4,Job4Year,Job5,Job5Year,Job6,Job6Year,Job7,Job7Year,Job8,Job8Year,Job9,Job9Year,Job10,Job10Year
403,Software Engineer,3.92,Software Engineer,1.42,Software Engineer,4.5,Software Engineer,1.17,Software Engineer,8.58,Software Engineer,1.25,,,,,,,,
404,Systems Administrator,4.17,Software Engineer,2.42,Software Engineer,2.0,Software Engineer,5.58,Vice President,2.92,,,,,,,,,,
405,Teacher,1.25,Software Engineer,3.33,Software Engineer,1.92,Software Engineer,4.0,Software Engineer,1.67,Software Engineer,1.0,Software Engineer,4.0,Software Engineer,1.33,Software Engineer,5.5,,
406,Account Management,1.08,Software Engineer,14.58,Web Developer,1.75,,,,,,,,,,,,,,
407,Intern,1.0,Intern,11.0,Software Engineer,6.0,Software Engineer,1.42,Tech Director,15.42,Tech Director,1.58,,,,,,,,
408,Analyst,1.75,Software Engineer,1.75,Software Engineer,1.17,Consultant/Advisor,1.42,Consultant/Advisor,12.5,,,,,,,,,,
409,Systems Administrator,2.0,Software Engineer,6.5,Analyst,1.5,Software Engineer,6.42,,,,,,,,,,,,
410,Tech Director,6.08,Tech Director,10.75,,,,,,,,,,,,,,,,
411,Director/Manager,1.67,*Outlier*,3.0,Associate,1.83,Intern,11.0,*Outlier*,2.83,Intern,4.0,Attorney,3.58,Director/Manager,1.25,Attorney,5.75,,
412,Software Engineer,3.75,Software Engineer,1.75,Software Engineer,1.08,Software Engineer,6.75,Software Engineer,5.83,Software Engineer,3.42,,,,,,,,
413,Technical Staff,1.33,Associate,6.0,User Experience,1.08,Project Manager,9.0,Project Manager,2.17,Founder/Owner,6.25,,,,,,,,
414,Software Engineer,2.0,Consultant/Advisor,1.08,Consultant/Advisor,2.33,Software Engineer,5.0,Tech Director,1.75,Tech Director,4.75,Tech Director,1.33,,,,,,
415,Consultant/Advisor,1.58,Analyst,6.0,Intern,6.0,Analyst,1.58,Director/Manager,4.75,Director/Manager,2.83,,,,,,,,
416,Software Engineer,12.08,Software Engineer,4.67,Software Engineer,2.08,Software Engineer,1.25,,,,,,,,,,,,
417,Consultant/Advisor,6.75,CTO,9.5,CTO,1.33,,,,,,,,,,,,,,
418,Software Engineer,12.83,,,,,,,,,,,,,,,,,,
419,Project Manager,9.08,Intern,2.42,Software Engineer,9.75,Project Manager,1.33,,,,,,,,,,,,
420,*Outlier*,3.08,Software Engineer,5.08,Software Engineer,1.08,Software Engineer,1.08,Tech Director,3.08,Research Scientist,1.5,Software Engineer,2.33,Software Engineer,3.08,,,,
421,Web Developer,10.75,Marketing,1.58,Marketing,5.25,,,,,,,,,,,,,,
422,Software Engineer,2.33,Founder/Owner,4.75,Software Engineer,7.25,Director/Manager,4.67,Tech Director,3.58,,,,,,,,,,
423,Board Member,2.25,Board Member,4.08,Board Member,1.42,Attorney,16.0,,,,,,,,,,,,
424,Software Engineer,1.33,Vice President,7.25,Software Engineer,7.0,,,,,,,,,,,,,,
425,Software Engineer,2.5,Software Engineer,3.08,Consultant/Advisor,3.08,Software Engineer,2.92,Software Engineer,2.0,Software Engineer,5.17,Tech Director,3.58,,,,,,
426,Teacher,5.0,Professor,8.75,,,,,,,,,,,,,,,,
427,Software Engineer Intern,4.0,Software Engineer,9.08,,,,,,,,,,,,,,,,
428,Teacher,3.83,Professor,5.0,Graduate Student,3.58,Graduate Student,1.33,Teacher,3.0,Teacher,8.0,Teacher,10.0,Teacher,1.58,,,,
429,Software Engineer,7.0,Software Engineer,1.58,Director/Manager,1.67,CEO,2.08,Founder/Owner,2.5,Founder/Owner,10.25,,,,,,,,
430,*Outlier*,11.0,Technical Staff,3.0,Founder/Owner,3.0,Board Member,1.0,Teacher,4.0,Software Engineer,2.0,Data Science,1.0,Data Science,2.0,Data Science,1.0,Director/Manager,4.0
431,Founder/Owner,2.08,Systems Administrator,3.67,Systems Administrator,2.33,Founder/Owner,21.33,,,,,,,,,,,,
432,Software Engineer Intern,3.0,Software Engineer,1.83,Consultant/Advisor,2.58,Software Engineer,3.33,Software Engineer,1.0,Software Engineer,7.0,Graduate Student,10.0,,,,,,
433,Analyst,2.0,Analyst,11.0,Director/Manager,2.42,Director/Manager,1.42,Director/Manager,2.67,Marketing,1.92,Marketing,11.0,Marketing,1.17,Board Member,1.92,Marketing,1.0
434,Technical Staff,2.0,Director/Manager,2.0,Investor,11.0,Founder/Owner,9.0,Founder/Owner,3.0,Board Member,1.0,Board Member,1.0,,,,,,
435,Software Engineer,1.75,Software Engineer,7.67,Software Engineer,3.42,,,,,,,,,,,,,,
436,Consultant/Advisor,14.25,,,,,,,,,,,,,,,,,,
437,Software Engineer,4.5,Software Engineer,3.92,Web Developer,1.92,Software Engineer,3.0,Software Engineer,3.08,,,,,,,,,,
438,Data Science,2.0,Systems Administrator,13.83,,,,,,,,,,,,,,,,
439,Software Engineer,15.25,,,,,,,,,,,,,,,,,,
440,Software Engineer,7.0,Software Engineer,3.92,Systems Administrator,1.33,Systems Administrator,1.5,Software Engineer,2.58,Software Engineer,2.33,Tech Director,1.83,Tech Director,3.08,,,,
441,Research Scientist,1.42,Analyst,5.58,Graduate Student,6.0,Data Science,2.58,Research Scientist,2.0,Research Scientist,2.75,,,,,,,,
442,Web Developer,2.0,Analyst,4.42,Founder/Owner,10.0,Fellow,5.0,,,,,,,,,,,,
443,Software Engineer,2.0,Intern,11.0,Marketing,4.0,Marketing,4.0,,,,,,,,,,,,
444,Analyst,1.0,Software Engineer,3.42,Intern,4.0,Graduate Student,2.33,Founder/Owner,4.08,Director/Manager,13.0,,,,,,,,
445,Software Engineer,2.0,Consultant/Advisor,4.67,Software Engineer,2.67,Software Engineer,3.17,Director/Manager,4.5,,,,,,,,,,
446,Software Engineer,10.0,Software Engineer,3.08,Software Engineer,11.0,Software Engineer,1.0,Founder/Owner,4.58,Software Engineer,2.67,Director/Manager,1.0,Software Engineer,3.42,Director/Manager,9.0,,
447,Fellow,3.08,Research Scientist,3.5,Fellow,9.0,Consultant/Advisor,2.0,Research Scientist,7.0,Board Member,8.0,Teacher,4.0,Board Member,5.0,Board Member,5.0,Research Scientist,6.0
448,Software Engineer Intern,1.0,Software Engineer,4.67,Software Engineer,1.25,Software Engineer,4.0,Software Engineer,9.17,,,,,,,,,,
449,Software Engineer,6.08,Software Engineer,8.17,Software Engineer,1.75,,,,,,,,,,,,,,
450,Director/Manager,3.0,Software Engineer,2.92,Software Engineer,10.0,CTO,12.0,CTO,5.33,CTO,7.0,Founder/Owner,7.0,Partner,12.25,Director/Manager,4.67,,
451,Software Engineer,6.0,Software Engineer,1.08,Intern,3.0,Intern,3.0,Research Scientist,6.75,Data Science,1.17,Vice President,5.83,Tech Director,11.0,Tech Director,1.0,,
452,Editor,8.0,Software Engineer,1.42,Graduate Student,3.25,Graduate Student,1.83,Intern,3.0,Graduate Student,1.08,Graduate Student,3.33,Professor,5.67,Professor,8.0,,
453,Analyst,2.42,Research Scientist,5.42,Research Scientist,2.83,Graduate Student,2.25,Fellow,3.75,Medical-related,1.08,,,,,,,,
454,*Outlier*,13.92,,,,,,,,,,,,,,,,,,
455,Systems Administrator,4.0,Software Engineer,2.0,Analyst,10.0,,,,,,,,,,,,,,
456,Director/Manager,3.08,Intern,4.0,Analyst,1.08,Analyst,10.5,,,,,,,,,,,,
457,Software Engineer,15.67,,,,,,,,,,,,,,,,,,
458,Software Engineer,2.58,Software Engineer,5.25,Tech Director,1.5,Tech Director,1.83,Tech Director,2.67,Tech Director,10.0,Tech Director,2.58,,,,,,
459,Systems Administrator,2.33,Systems Administrator,7.42,Software Engineer,6.0,Systems Administrator,6.0,Software Engineer,9.0,Software Engineer,1.25,Tech Director,1.17,Software Engineer,1.42,,,,
460,Software Engineer Intern,1.33,Software Engineer,4.25,Software Engineer,9.58,Software Engineer,1.67,Software Engineer,1.42,,,,,,,,,,
461,Software Engineer,1.42,Consultant/Advisor,1.17,Software Engineer,1.67,Research Scientist,6.42,Research Scientist,5.75,Director/Manager,1.58,Research Scientist,1.58,,,,,,
462,Intern,4.0,Software Engineer,1.08,Founder/Owner,8.42,Software Engineer,12.0,Software Engineer,2.58,Software Engineer,1.17,Software Engineer,3.75,Tech Director,1.08,,,,
463,Software Engineer Intern,4.0,Intern,3.0,Software Engineer,1.67,Data Science,2.33,Data Science,1.25,Data Science,2.58,Data Science,1.58,,,,,,
464,Software Engineer,4.08,Software Engineer,10.83,,,,,,,,,,,,,,,,
465,Vice President,4.0,Intern,3.0,Intern,3.0,Associate,1.5,Consultant/Advisor,6.5,Consultant/Advisor,1.25,Attorney,3.0,Associate,2.0,,,,
466,Software Engineer,1.42,Software Engineer,2.83,Software Engineer,1.33,Software Engineer,3.42,Software Engineer,3.17,Software Engineer,1.0,Software Engineer,2.67,,,,,,
467,Software Engineer,1.0,Software Engineer,7.0,Software Engineer,1.92,,,,,,,,,,,,,,
468,Medical-related,11.92,,,,,,,,,,,,,,,,,,
469,Software Engineer,1.0,Software Engineer,3.0,Software Engineer,2.33,Software Engineer,5.58,Software Engineer,1.5,Software Engineer,1.67,,,,,,,,
470,Analyst,1.58,Associate,4.0,Vice President,9.17,,,,,,,,,,,,,,
471,Software Engineer,1.33,Software Engineer,1.33,Software Engineer,3.67,Software Engineer,1.0,Tech Director,6.0,Software Engineer,4.0,,,,,,,,
472,Software Engineer Intern,4.0,Software Engineer Intern,5.0,Software Engineer,4.83,Software Engineer,2.0,Software Engineer,4.08,Software Engineer,5.92,,,,,,,,
473,Software Engineer,9.0,Software Engineer,9.0,Software Engineer,3.42,Software Engineer,10.08,,,,,,,,,,,,
474,Software Engineer,2.0,Project Manager,1.58,Software Engineer,1.92,Tech Director,2.08,Tech Director,5.0,Tech Director,1.58,Project Manager,1.58,,,,,,
475,Software Engineer,3.0,Software Engineer,3.0,Software Engineer,3.0,Software Engineer,1.83,,,,,,,,,,,,
476,Intern,1.0,Analyst,1.25,Software Engineer,7.33,Teacher,3.75,Director/Manager,3.0,,,,,,,,,,
477,Intern,5.0,Founder/Owner,8.0,Intern,1.83,Technical Staff,11.42,Software Engineer,1.33,Tech Director,2.0,Project Manager,9.0,,,,,,
478,Software Engineer,2.0,Software Engineer,11.0,Software Engineer,1.0,Software Engineer,1.33,Software Engineer,3.83,Software Engineer,2.75,Software Engineer,3.67,Software Engineer,7.42,,,,
479,Consultant/Advisor,2.42,Software Engineer,1.17,Director/Manager,2.25,Software Engineer,1.25,Software Engineer,6.0,Software Engineer,3.08,Tech Director,3.33,Founder/Owner,2.58,,,,
480,Analyst,3.0,Director/Manager,13.0,Partner,12.75,,,,,,,,,,,,,,
481,Founder/Owner,2.5,Project Manager,2.42,Founder/Owner,3.0,Consultant/Advisor,10.0,Founder/Owner,10.33,,,,,,,,,,
482,Research Scientist,3.0,Research Scientist,9.0,Research Scientist,5.83,Research Scientist,4.08,Research Scientist,1.17,CEO,3.67,Director/Manager,1.42,Director/Manager,1.08,,,,
483,Analyst,4.92,Intern,3.0,Intern,3.0,Associate,2.0,Director/Manager,6.83,,,,,,,,,,
484,Intern,3.0,Software Engineer,3.67,Software Engineer,8.0,Software Engineer,5.67,Software Engineer,2.08,Software Engineer,2.5,Software Engineer,2.0,,,,,,
485,Software Engineer,3.5,Software Engineer,7.0,*Outlier*,1.08,Software Engineer,8.0,Intern,2.42,Medical-related,6.67,,,,,,,,
486,Intern,1.0,Research Scientist,6.0,Technical Staff,1.42,Software Engineer,7.33,,,,,,,,,,,,
487,Software Engineer,3.17,Research Scientist,1.33,Web Developer,4.0,Intern,4.0,Software Engineer,2.75,Web Developer,1.58,Software Engineer,5.67,Associate,2.33,Software Engineer,5.33,,
488,Founder/Owner,14.0,,,,,,,,,,,,,,,,,,
489,Director/Manager,1.33,Director/Manager,5.0,Founder/Owner,8.75,,,,,,,,,,,,,,
490,Research Scientist,5.0,Research Scientist,1.83,Fellow,2.08,Research Scientist,1.5,Research Scientist,4.25,,,,,,,,,,
491,Account Management,3.5,Officer,3.08,Director/Manager,5.25,Director/Manager,2.83,,,,,,,,,,,,
492,Software Engineer,2.08,Software Engineer,3.33,Technical Staff,11.0,Software Engineer,2.25,Tech Director,1.58,Vice President,4.5,Tech Director,5.0,,,,,,
493,Software Engineer Intern,3.0,Software Engineer,3.75,Analyst,2.17,Associate,4.08,Associate,3.17,Software Engineer,5.67,,,,,,,,
494,Account Management,11.0,Director/Manager,1.5,Analyst,3.0,Analyst,2.17,Director/Manager,2.75,Marketing,6.0,,,,,,,,
495,Software Engineer,1.5,Founder/Owner,5.0,Software Engineer,6.0,Founder/Owner,1.67,Teacher,10.0,Software Engineer,1.75,Project Manager,7.0,Tech Director,3.33,Tech Director,3.58,,
496,Research Scientist,4.0,Director/Manager,6.0,Professor,5.75,,,,,,,,,,,,,,
497,Director/Manager,9.0,Founder/Owner,5.25,,,,,,,,,,,,,,,,
498,*Outlier*,3.75,Medical-related,1.25,*Outlier*,9.67,Medical-related,2.58,,,,,,,,,,,,
499,Intern,3.0,Intern,3.0,Intern,3.0,Intern,1.25,Fellow,3.0,Fellow,2.0,Software Engineer,4.25,,,,,,
500,Research Scientist,2.0,Software Engineer,1.17,Software Engineer,2.17,Software Engineer,4.08,Software Engineer,10.0,,,,,,,,,,
501,Software Engineer,2.67,Software Engineer,4.0,Software Engineer,2.0,Software Engineer,2.67,Software Engineer,4.33,Software Engineer,1.0,,,,,,,,
502,Intern,3.0,Fellow,1.75,Partner,6.67,,,,,,,,,,,,,,
503,Software Engineer,3.5,Software Engineer,5.92,Research Scientist,4.42,Software Engineer,4.42,,,,,,,,,,,,
504,Founder/Owner,2.0,Software Engineer,5.0,Software Engineer,3.58,Software Engineer,10.25,,,,,,,,,,,,
505,Software Engineer,1.83,Software Engineer,1.42,Tech Director,4.17,Director/Manager,5.58,,,,,,,,,,,,
506,Analyst,6.0,Technical Staff,1.25,Attorney,6.75,Software Engineer,2.0,Data Science,2.17,,,,,,,,,,
507,Software Engineer,3.0,Consultant/Advisor,1.58,Software Engineer,1.5,Vice President,2.58,Software Engineer,11.0,Founder/Owner,2.17,Software Engineer,2.83,Software Engineer,1.83,,,,
508,Software Engineer,7.0,Software Engineer,2.08,Software Engineer,10.42,Software Engineer,4.17,,,,,,,,,,,,
509,Founder/Owner,2.17,Research Scientist,2.0,Software Engineer,5.0,Software Engineer Intern,4.0,Founder/Owner,2.17,CTO,1.0,CEO,7.25,,,,,,
510,Associate,3.0,Consultant/Advisor,4.25,Associate,2.25,Associate,7.0,Associate,1.08,Director/Manager,2.42,Director/Manager,5.0,Web Developer,3.0,Software Engineer,4.0,Tech Director,2.0
511,Intern,4.0,Software Engineer Intern,9.0,Software Engineer,3.0,Software Engineer Intern,10.0,Software Engineer,4.17,Software Engineer,3.08,Founder/Owner,1.83,Consultant/Advisor,6.0,Software Engineer,3.75,,
512,Intern,1.75,Intern,4.0,Intern,1.0,User Experience,1.67,Software Engineer,5.42,Software Engineer,4.08,Software Engineer,6.0,,,,,,
513,Intern,11.0,Software Engineer,3.67,Software Engineer,6.75,,,,,,,,,,,,,,
514,Software Engineer Intern,3.0,Software Engineer Intern,2.0,Software Engineer Intern,3.0,Software Engineer,5.17,Software Engineer,7.75,,,,,,,,,,
515,Software Engineer,4.33,Software Engineer,10.0,,,,,,,,,,,,,,,,
516,Graduate Student,6.83,Teacher,1.0,Fellow,11.0,Fellow,1.67,,,,,,,,,,,,
517,Software Engineer Intern,2.0,Software Engineer Intern,11.0,Software Engineer Intern,3.0,Intern,4.0,Graduate Student,6.42,Research Scientist,4.0,Research Scientist,1.08,Technical Staff,6.08,,,,
518,*Outlier*,1.0,Data Science,9.0,Associate,1.83,Consultant/Advisor,1.17,Attorney,3.75,,,,,,,,,,
519,Technical Staff,2.0,Software Engineer Intern,3.0,Software Engineer,6.17,Software Engineer,1.0,Software Engineer,2.92,,,,,,,,,,
520,Web Developer,4.33,Consultant/Advisor,1.0,Software Engineer,8.83,*Outlier*,5.42,,,,,,,,,,,,
521,Associate,3.0,Associate,2.33,Fellow,11.0,Consultant/Advisor,2.75,Consultant/Advisor,1.0,*Outlier*,2.75,,,,,,,,
522,Software Engineer,2.33,Software Engineer,6.5,*Outlier*,3.0,Software Engineer,3.92,,,,,,,,,,,,
523,Software Engineer,3.17,Software Engineer,7.75,CTO,10.0,Partner,9.83,Founder/Owner,9.33,,,,,,,,,,
524,Software Engineer,3.83,Consultant/Advisor,1.75,Software Engineer,3.75,CTO,2.5,Tech Director,2.42,,,,,,,,,,
525,Web Developer,4.0,Director/Manager,5.0,Intern,4.0,Director/Manager,1.58,*Outlier*,1.0,*Outlier*,11.0,*Outlier*,8.0,*Outlier*,1.5,Director/Manager,1.75,Director/Manager,6.0
526,Associate,2.58,Intern,2.0,Software Engineer,11.0,Software Engineer,2.42,Software Engineer,1.83,Software Engineer,6.67,Systems Administrator,3.25,,,,,,
527,Software Engineer Intern,2.0,Software Engineer Intern,1.58,Research Scientist,2.42,Software Engineer,7.0,Software Engineer,1.42,Software Engineer,4.42,Software Engineer,3.67,Software Engineer,2.58,,,,
528,Web Developer,4.0,Software Engineer,1.17,Data Science,3.0,Software Engineer,11.0,Data Science,1.5,Software Engineer,11.0,Founder/Owner,6.0,,,,,,
529,Software Engineer Intern,4.0,Software Engineer,2.75,Software Engineer,2.0,Software Engineer,2.5,Software Engineer,2.08,Tech Director,1.08,Tech Director,6.0,,,,,,
530,Web Developer,11.0,Web Developer,1.33,Web Developer,1.75,Web Developer,10.0,,,,,,,,,,,,
531,Associate,1.58,Vice President,3.33,Vice President,3.08,Consultant/Advisor,4.83,Director/Manager,1.67,Director/Manager,1.33,,,,,,,,
532,Software Engineer Intern,3.0,Intern,4.0,Software Engineer Intern,3.0,Intern,4.0,Intern,3.0,Teacher,2.0,Research Scientist,3.0,Graduate Student,3.75,Data Science,3.0,Data Science,2.92
533,Software Engineer Intern,11.0,Software Engineer,3.83,Founder/Owner,4.25,Software Engineer,3.75,Software Engineer,4.58,Software Engineer,3.08,,,,,,,,
534,Software Engineer,1.08,Software Engineer,6.25,Software Engineer,8.0,Software Engineer,4.25,,,,,,,,,,,,
535,Software Engineer,3.0,Software Engineer Intern,3.0,Research Scientist,2.92,Research Scientist,3.5,Software Engineer,2.83,Software Engineer,7.0,Software Engineer,1.92,,,,,,
536,CEO,9.83,,,,,,,,,,,,,,,,,,
537,Graduate Student,6.5,Software Engineer,5.0,,,,,,,,,,,,,,,,
538,Consultant/Advisor,7.0,Software Engineer,1.58,Founder/Owner,8.0,Consultant/Advisor,6.0,Software Engineer,1.33,Tech Director,10.0,Vice President,1.33,Vice President,9.0,*Outlier*,10.0,Tech Director,3.58
539,Software Engineer,10.5,,,,,,,,,,,,,,,,,,
540,Software Engineer Intern,3.0,Tech Director,2.5,Founder/Owner,2.33,Founder/Owner,5.58,*Outlier*,8.0,Project Manager,3.08,Founder/Owner,1.25,Investor,10.0,,,,
541,*Outlier*,2.0,Analyst,2.25,Analyst,1.17,Analyst,4.58,Software Engineer,1.0,,,,,,,,,,
542,Intern,1.0,Software Engineer Intern,3.0,Software Engineer,1.08,Analyst,1.92,Consultant/Advisor,1.25,Consultant/Advisor,6.0,Consultant/Advisor,1.25,CEO,6.0,Director/Manager,5.75,,
543,Software Engineer,8.0,Software Engineer,1.25,Consultant/Advisor,11.0,Software Engineer,9.0,Software Engineer,7.17,Software Engineer,5.17,,,,,,,,
544,Research Scientist,5.58,Graduate Student,4.92,Fellow,4.42,Professor,2.25,,,,,,,,,,,,
545,Technical Staff,8.0,Intern,3.0,Software Engineer,1.08,Software Engineer,1.67,Software Engineer,11.0,Software Engineer,1.92,Consultant/Advisor,1.75,Web Developer,9.0,*Outlier*,2.83,,
546,Software Engineer,2.0,Software Engineer Intern,2.0,Web Developer,2.83,Intern,1.0,*Outlier*,1.17,Medical-related,4.0,Research Scientist,2.83,*Outlier*,4.08,Medical-related,1.75,,
547,Associate,4.0,Software Engineer,7.83,Software Engineer,2.42,,,,,,,,,,,,,,
548,Director/Manager,2.0,*Outlier*,3.83,Teacher,5.42,Director/Manager,17.0,Consultant/Advisor,4.08,Analyst,2.0,,,,,,,,
549,Officer,3.0,Technical Staff,6.0,Teacher,4.0,Associate,9.0,Intern,4.0,Marketing,11.0,Marketing,1.0,Director/Manager,3.0,Marketing,1.0,Analyst,2.25
550,Technical Staff,3.0,Technical Staff,4.0,Technical Staff,3.75,Technical Staff,2.42,Software Engineer Intern,5.0,Software Engineer,1.92,Software Engineer,1.08,Software Engineer,7.92,,,,
551,Research Scientist,11.0,Software Engineer,1.0,Software Engineer,11.0,Software Engineer,1.25,Software Engineer,5.08,Software Engineer,1.92,,,,,,,,
552,Consultant/Advisor,3.0,Software Engineer,2.08,Software Engineer,1.67,Software Engineer,3.08,Software Engineer,2.08,Software Engineer,3.0,Software Engineer,1.83,,,,,,
553,Sales,3.0,Software Engineer Intern,5.0,Software Engineer Intern,7.0,Software Engineer,1.83,Software Engineer,5.08,Software Engineer,2.75,,,,,,,,
554,Teacher,8.0,Software Engineer,6.0,Software Engineer,2.75,Tech Director,1.67,Software Engineer,10.0,,,,,,,,,,
555,Intern,3.0,Founder/Owner,2.08,Consultant/Advisor,2.83,Consultant/Advisor,7.0,Data Science,1.83,Data Science,4.42,,,,,,,,
556,Software Engineer,3.58,Software Engineer,1.0,Software Engineer,1.17,Technical Staff,4.08,,,,,,,,,,,,
557,Intern,8.0,Web Developer,2.58,Software Engineer Intern,11.0,Teacher,4.0,,,,,,,,,,,,
558,Founder/Owner,4.08,Software Engineer,2.67,Software Engineer,1.5,Software Engineer,9.0,Tech Director,2.0,,,,,,,,,,
559,Intern,2.33,Intern,4.0,Intern,4.0,Data Science,1.33,Research Scientist,1.17,Research Scientist,1.42,,,,,,,,
560,Research Scientist,3.0,Marketing,3.0,Research Scientist,4.0,Intern,3.0,Analyst,3.0,Associate,1.08,Director/Manager,2.0,Founder/Owner,1.5,Founder/Owner,5.33,,
561,Software Engineer,1.58,Software Engineer,3.08,Technical Staff,1.08,Technical Staff,2.25,Software Engineer,1.5,,,,,,,,,,
562,Software Engineer,1.83,Software Engineer,3.33,Software Engineer,4.67,,,,,,,,,,,,,,
563,Technical Staff,3.0,Research Scientist,6.0,Software Engineer,1.17,Consultant/Advisor,1.17,Software Engineer,2.58,,,,,,,,,,
564,Fellow,4.0,Fellow,4.0,Founder/Owner,9.0,Founder/Owner,1.0,Data Science,1.25,Founder/Owner,5.0,Data Science,8.0,Data Science,2.33,Software Engineer,1.58,,
565,Analyst,4.0,Investor,1.17,Investor,1.42,Intern,3.0,Associate,1.5,Associate,1.5,Associate,1.08,,,,,,
566,Software Engineer,9.33,,,,,,,,,,,,,,,,,,
567,Software Engineer Intern,4.0,Consultant/Advisor,1.17,Software Engineer,1.0,Software Engineer,4.0,Sales,4.17,,,,,,,,,,
568,Analyst,4.0,Analyst,2.58,Vice President,1.75,,,,,,,,,,,,,,
569,Software Engineer Intern,1.25,Software Engineer Intern,1.17,Software Engineer Intern,1.83,Research Scientist,1.58,Research Scientist,1.33,Software Engineer,1.58,Software Engineer,1.25,Software Engineer,3.92,,,,
570,*Outlier*,1.08,Intern,4.0,Systems Administrator,1.0,Founder/Owner,1.25,Founder/Owner,1.17,Software Engineer,10.0,Founder/Owner,10.0,Software Engineer,1.17,User Experience,3.75,Software Engineer,3.92
571,Intern,11.0,Web Developer,11.0,Web Developer,2.0,Web Developer,1.75,Software Engineer,1.08,Software Engineer Intern,5.0,Software Engineer,1.17,Software Engineer,1.5,Software Engineer,7.0,,
572,Software Engineer,3.08,Teacher,9.0,Teacher,7.0,Teacher,2.42,Teacher,4.58,,,,,,,,,,
573,Research Scientist,2.0,Research Scientist,5.0,Founder/Owner,4.0,Software Engineer,1.17,Software Engineer,8.0,Software Engineer,1.83,Software Engineer,1.58,*Outlier*,2.33,Software Engineer,1.75,,
574,Intern,3.0,Data Science,1.0,Intern,3.0,Research Scientist,6.83,Technical Staff,2.75,,,,,,,,,,
575,Intern,3.58,User Experience,1.42,User Experience,2.08,User Experience,7.0,User Experience,8.0,User Experience,3.33,User Experience,1.0,,,,,,
576,Systems Administrator,5.17,Project Manager,3.5,,,,,,,,,,,,,,,,
577,Software Engineer,4.75,Software Engineer,1.17,Software Engineer,2.5,Software Engineer,7.0,,,,,,,,,,,,
578,Consultant/Advisor,3.0,Intern,4.0,*Outlier*,3.0,Software Engineer,2.08,Teacher,5.0,Software Engineer,1.08,Software Engineer,4.0,,,,,,
579,*Outlier*,3.0,*Outlier*,3.0,*Outlier*,4.0,Software Engineer Intern,4.0,Intern,3.0,Technical Staff,8.0,Software Engineer,3.08,Software Engineer,4.08,,,,
580,Intern,3.0,Intern,1.0,Marketing,1.08,Marketing,1.17,Marketing,5.0,Teacher,3.83,Marketing,6.17,*Outlier*,2.42,,,,
581,Consultant/Advisor,3.0,Director/Manager,3.0,Research Scientist,2.17,Software Engineer,6.42,,,,,,,,,,,,
582,Founder/Owner,1.67,Software Engineer Intern,5.0,Software Engineer Intern,5.0,Software Engineer,1.33,Vice President,2.33,Software Engineer,1.17,Software Engineer,3.25,Software Engineer,5.0,Tech Director,2.0,,
583,Intern,3.0,Intern,2.0,Software Engineer,8.58,,,,,,,,,,,,,,
584,*Outlier*,2.0,Intern,3.0,Software Engineer,3.75,Research Scientist,4.75,Technical Staff,2.75,Research Scientist,1.42,,,,,,,,
585,Intern,3.0,Research Scientist,4.0,,,,,,,,,,,,,,,,
586,Research Scientist,4.0,Software Engineer,1.17,Software Engineer,3.0,Software Engineer,1.0,Software Engineer,3.75,,,,,,,,,,
587,Software Engineer,1.42,Software Engineer,4.0,Software Engineer,8.0,Software Engineer,3.67,Software Engineer,1.08,Software Engineer,7.0,Software Engineer,6.0,,,,,,
588,Software Engineer,6.42,,,,,,,,,,,,,,,,,,
589,Software Engineer,10.0,Software Engineer,8.75,Software Engineer,1.5,,,,,,,,,,,,,,
590,Web Developer,3.0,Software Engineer,5.5,,,,,,,,,,,,,,,,
591,Software Engineer,9.0,Software Engineer,1.5,Software Engineer,10.0,Software Engineer,2.75,Software Engineer,2.42,Software Engineer,10.0,,,,,,,,
592,Web Developer,2.08,Graduate Student,1.67,Software Engineer,8.0,,,,,,,,,,,,,,
593,Software Engineer Intern,3.0,Software Engineer,4.17,Software Engineer,1.42,Software Engineer,9.0,Software Engineer,1.0,Consultant/Advisor,3.0,,,,,,,,
594,Associate,1.25,Associate,1.42,Technical Staff,1.17,Technical Staff,1.67,Analyst,10.0,Analyst,4.83,,,,,,,,
595,Teacher,2.67,Intern,3.0,Intern,4.0,Project Manager,1.42,Project Manager,1.75,Project Manager,1.17,Project Manager,1.5,Project Manager,2.08,,,,
596,Intern,11.0,Associate,3.67,,,,,,,,,,,,,,,,
597,Investor,1.0,Investor,11.0,Consultant/Advisor,3.0,Investor,2.0,Investor,1.0,Board Member,1.0,Investor,1.0,,,,,,
598,Software Engineer,4.0,Software Engineer Intern,4.0,Software Engineer,11.0,Software Engineer,2.17,Software Engineer,5.0,,,,,,,,,,
599,Associate,2.25,Analyst,12.0,Analyst,12.0,*Outlier*,1.75,Software Engineer,1.08,Software Engineer,2.0,,,,,,,,
600,Marketing,6.0,Software Engineer,1.08,Founder/Owner,1.67,Sales,1.17,Account Management,1.75,Account Management,1.75,Sales,3.0,Account Management,2.0,,,,
601,Research Scientist,1.08,Research Scientist,2.17,Teacher,9.0,Medical-related,2.08,Teacher,5.58,,,,,,,,,,
602,*Outlier*,4.0,Software Engineer Intern,5.0,Software Engineer,10.0,Software Engineer,3.58,Software Engineer,1.83,Software Engineer,5.0,Software Engineer,11.0,Software Engineer,9.0,,,,
